Nombre,URL,Descripción,Categoría,Marca,Precio,Moneda,Disponibilidad,Fecha Precio Válido
Pz.Kpfw.38.(t) Ausf.G w/interior,https://modelplasticworld.com/es/modelos-a-escala/10242-pzkpfw38t-ausfg-winterior-089195862907.html,Referencia: DRA6290 Pz.Kpfw.38.(t) Ausf.G w/interior Escala: 1:35 PVP: 44.95€,Modelos a escala,Model Plastic World,33.82,EUR,https://schema.org/InStock,2025-03-12
Sd.Kfz.181 Tiger I Early Production Wittmann's Tiger,https://modelplasticworld.com/es/modelos-a-escala/9871-sdkfz181-tiger-i-early-production-wittmann-s-tiger-089195869906.html,Referencia: DRA6990 Sd.Kfz.181 Tiger I Early Production Wittmann&#039;s Tiger Escala 1:35 PVP: 62.50€,Modelos a escala,Model Plastic World,47.03,EUR,https://schema.org/InStock,2025-03-12
Sd.Kfz.165 Hummel Early/Late Production (2 in 1),https://modelplasticworld.com/es/modelos-a-escala/9870-sdkfz165-hummel-earlylate-production-2-in-1-089195869357.html,Referencia: DRA6935 Sd.Kfz.165 Hummel Early/Late Production (2 in 1) Escala 1:35 PVP: 58.95€ Maqueta para Montar,Modelos a escala,Model Plastic World,44.35,EUR,https://schema.org/InStock,2025-03-12
Jagdpanther Ausf.G1 Premium Edition,https://modelplasticworld.com/es/modelos-a-escala/9693-jagdpanther-ausfg1-premium-edition-0089195868466.html,Referencia: DRA6846 Jagdpanther Ausf.G1 Premium Edition Escala 1:35 PVP: 60.10€,Modelos a escala,Model Plastic World,45.22,EUR,https://schema.org/OutOfStock,2025-03-12
Sd.Kfz.171 Panther G 2 in 1 - Premium Edition,https://modelplasticworld.com/es/modelos-a-escala/9692-sdkfz171-panther-g-2-in-1-premium-edition-089195866028.html,Referencia: DRA6602 Sd.Kfz.171 Panther G 2 in 1 - Premium Edition Escala 1:35 PVP: 60.10€ Maqueta para Montar,Modelos a escala,Model Plastic World,45.22,EUR,https://schema.org/OutOfStock,2025-03-12
"Tiger I Early Production ""TiKi"" Das Reich Division (Battle of Kharkov)",https://modelplasticworld.com/es/modelos-a-escala/7475-tiger-i-early-production-tiki-das-reich-division-battle-of-kharkov-89195868855.html,Referencia: DRA6885 Tiger I Early Production &quot;TiKi&quot; Das Reich Division (Battle of Kharkov) Escala 1:35 PVP:56.10€ Maqueta para Montar,Modelos a escala,Model Plastic World,42.21,EUR,https://schema.org/OutOfStock,2025-03-12
Panther Ausf.D V2 Versuchsseriei,https://modelplasticworld.com/es/modelos-a-escala/7474-panther-ausfd-v2-versuchsseriei-89195868305.html,Referencia: DRA6830 Panther Ausf.D V2 Versuchsseriei Escala 1:35 PVP:48.60€,Modelos a escala,Model Plastic World,33.24,EUR,https://schema.org/InStock,2025-03-12
SHERMAN Mk.Ic FIREFLY HYBRID,https://modelplasticworld.com/es/modelos-a-escala/7472-sherman-mkic-firefly-hybrid-089195862280.html,Referencia: DRA6228 SHERMAN Mk.Ic FIREFLY HYBRID Escala 1:35 PVP: 47.95€,Modelos a escala,Model Plastic World,36.08,EUR,https://schema.org/OutOfStock,2025-03-12
German Sd.Kfz. 251 Ausf. C,https://modelplasticworld.com/es/modelos-a-escala/7471-german-sdkfz-251-ausf-c-089195861870.html,Referencia: DRA6187 German Sd.Kfz. 251 Ausf. C Escala 1:35 PVP: 53.50€,Modelos a escala,Model Plastic World,40.25,EUR,https://schema.org/InStock,2025-03-12
German 3t 4x2 Truck w/2cm FlaK 38 (2 in 1) Smart Kit,https://modelplasticworld.com/es/modelos-a-escala/7286-german-3t-4x2-truck-w2cm-flak-38-2-in-1-smart-kit-89195868282.html,Referencia: DRA6828 German 3t 4x2 Truck w/2cm FlaK 38 (2 in 1) Smart Kit Escala: 1:35 PVP:46.65€ Maqueta para Montar,Modelos a escala,Model Plastic World,35.1,EUR,https://schema.org/OutOfStock,2025-03-12
Sd.Kfz.10 Ausf.B 1942 Production,https://modelplasticworld.com/es/modelos-a-escala/7285-sdkfz10-ausfb-1942-production-089195867315.html,Referencia: DRA6731 Sd.Kfz.10 Ausf.B 1942 Production Escala: 1:35 PVP:49.40€,Modelos a escala,Model Plastic World,37.17,EUR,https://schema.org/OutOfStock,2025-03-12
British 25 Pdr. Field Gun Mk.II w/Limber and Crew,https://modelplasticworld.com/es/modelos-a-escala/7284-british-25-pdr-field-gun-mkii-wlimber-and-crew-0089195866752.html,Referencia: DRA6675 British 25 Pdr. Field Gun Mk.II w/Limber and Crew Escala: 1:35 PVP: 37.30€ Maqueta para Montar,Modelos a escala,Model Plastic World,28.06,EUR,https://schema.org/OutOfStock,2025-03-12
SHERMAN MK. III,https://modelplasticworld.com/es/modelos-a-escala/7283-sherman-mk-iii-0089195863133.html,Referencia: DRa6313 SHERMAN MK. III Escala: 1:35 PVP:49.00€,Modelos a escala,Model Plastic World,36.87,EUR,https://schema.org/OutOfStock,2025-03-12
Chinese Volunteer T-34/85 with Chinese Volunteers,https://modelplasticworld.com/es/modelos-a-escala/6838-chinese-volunteer-t-3485-with-chinese-volunteers-089195891587.html,Referencia: DRA9158 Chinese Volunteer T-34/85 with Chinese Volunteers Escala:1:35 PVP:37.90€,Modelos a escala,Model Plastic World,25.92,EUR,https://schema.org/OutOfStock,2025-03-12
M-46 Patton,https://modelplasticworld.com/es/modelos-a-escala/6837-m-46-patton-89195891471.html,Referencia: DRA9147 M-46 Patton Escala:1:35 pvp:37.90€,Modelos a escala,Model Plastic World,25.92,EUR,https://schema.org/InStock,2025-03-12
Pz.Kpfw.III Ausf.L s.Pz.Abt.502 Eastern Front 1942,https://modelplasticworld.com/es/modelos-a-escala/6782-pzkpfwiii-ausfl-spzabt502-eastern-front-1942-089195869579.html,Referencia: DRA6957 Pz.Kpfw.III Ausf.L s.Pz.Abt.502 Eastern Front 1942 Escala:1:35 PVP:56.00€,Modelos a escala,Model Plastic World,42.13,EUR,https://schema.org/OutOfStock,2025-03-12
Pz.Kpfw. V Sd.Kfz. 171 Panther Ausf. D w/Zimmerit (2in1),https://modelplasticworld.com/es/modelos-a-escala/6781-pzkpfw-v-sdkfz-171-panther-ausf-d-wzimmerit-2in1-089195869456.html,Referencia: DRA6945 Pz.Kpfw. V Sd.Kfz. 171 Panther Ausf. D w/Zimmerit (2in1) Escala:1:35 PVP:54.00€,Modelos a escala,Model Plastic World,40.63,EUR,https://schema.org/OutOfStock,2025-03-12
2cm FlaK 38 Early/Late Production mit Sd.Ah.51 and Crew (2 in 1),https://modelplasticworld.com/es/modelos-a-escala/6780-2cm-flak-38-earlylate-production-mit-sdah51-and-crew-2-in-1-089195869425.html,Referencia: DRA6942 2cm FlaK 38 Early/Late Production mit Sd.Ah.51 and Crew (2 in 1) Escala:1:35 PVP:25.00€,Modelos a escala,Model Plastic World,18.81,EUR,https://schema.org/OutOfStock,2025-03-12
SAS Desert Raiders 3 Patrol Vehicles with Commander & 6 Crews,https://modelplasticworld.com/es/modelos-a-escala/6778-sas-desert-raiders-3-patrol-vehicles-with-commander-6-crews-089195869319.html,Referencia: DRA6931 SAS Desert Raiders 3 Patrol Vehicles with Commander &amp; 6 Crews Escala:1:35 PVP:58.30€,Modelos a escala,Model Plastic World,43.86,EUR,https://schema.org/OutOfStock,2025-03-12
